Word,Count
the,829
*,565
to,350
is,239
of,218
and,194
a,192
that,167
,164
for,162
this,140
);,123
be,122
are,111
in,105
not,104
The,100
link,94
it,87
),87
=,85
on,79
connector,74
if,63
will,57
or,57
0,55
connectors,54
other,52
one,51
with,49
new,48
if(,48
from,47
have,46
line,46
only,46
file,45
:,45
at,43
an,42
all,42
as,42
This,41
/,40
can,39
but,39
we,39
point,38
///////////////////////////////////////////////////////////////////////////,37
==,36
so,35
fixed,35
slider,34
return,33
by,32
code,31
any,31
two,29
has,29
points,29
get,27
common,27
used,27
Link,27
dialog,26
when,26
sliders,26
Check,26
selected,25
using,25
current,24
If,24
standard,24
there,24
{,24
location,23
},23
then,23
because,23
some,23
move,22
use,22
position,22
slide,22
your,22
no,22
value,22
limits,21
than,20
distance,20
make,20
support,20
which,19
angle,19
here,19
same,19
Draw,19
before,19
set,19
type,19
end,19
!=,18
more,18
function,18
just,18
sliding,18
you,18
-,17
message,17
after,17
may,17
Find,17
implementation,17
document,17
up,17
needed,17
MFC,16
about,16
arc,16
they,16
sure,16
time,16
list,16
Microsoft,16
them,16
do,15
size,15
been,15
Get,15
rotate,15
<,15
||,15
A,15
It,15
connected,15
\),\,15
properly,14
data,14
arrow,14
out,14
drawing,14
moved,14
\"\true"\\,14
single,14
\"\this"\\,14
class,14
handlers,14
values,14
draw,14
Angle,13
start,13
include,13
might,13
must,13
would,13
bit,13
double,13
window,13
things,13
\"\false"\,\,13
Dialog,13
intersection,13
extension,13
should,13
close,13
these,13
defined,13
button,13
Windows,13
C++,13
their,12
RotationAngle,12
else,12
being,12
Data,12
based,12
between,12
what,12
following,12
Links,12
links,12
text,12
compiler,12
bitmap,12
There,12
DDX/DDV,12
PenColor,12
don't,12
Position,12
number,11
0;,11
void,11
where,11
control,11
changed,11
video,11
rotation,11
now,11
orientation,11
scale,11
stdint.h,11
constructor,11
since,11
through,11
=NULL,11
measurement,11
area,10
needs,10
head,10
pen,10
generated,10
In,10
case,10
THE,10
information,10
1,10
its,10
////////////////////////////////////////////////////////////////////,10
input,10
x,10
required,10
see,10
first,10
available,10
work,10
menu,10
lines,10
integer,10
---------------------------------------------------------------------,10
proper,10
section,10
something,10
platform,10
scaling,10
non-solid,9
into,9
path,9
different,9
y,9
source,9
Scale(,9
Visual,9
\0,\,9
original,9
CFPoint();,9
user,9
also,9
look,9
C,9
without,9
display,9
Fluent,9
better,9
temp,9
need,9
PenWidth,9
Only,9
Create,9
DXF,9
+,9
pens,9
All,8
both,8
clicking,8
functions,8
above,8
created,8
definitions,8
simulation,8
error,8
segment,8
adjust,8
Make,8
rotated,8
appropriate,8
along,8
ClassWizard,8
gear,8
minimum,8
already,8
way,8
change,8
>,8
allow,8
was,8
could,8
AddRibbonCheckbox(,8
movie,8
OF,8
locations,8
causes,8
2,8
table,8
Without,8
nothing,7
image,7
another,7
Codec,7
C99,7
\this,\,7
handle,7
pixel,7
version,7
mechanism,7
does,7
We,7
command,7
item,7
Implementation,7
very,7
Other,7
ID,7
off,7
cannot,7
can't,7
create,7
each,7
virtual,7
find,7
platforms,7
next,7
screen,7
int,7
Function,7
hull,7
</Summary>,7
those,7
OR,7
screwed,7
Point,7
lowest,7
Remove,7
zoom,7
order,7
height,7
application,7
color,7
it's,7
add,7
specified,7
right,7
software,7
NOT,7
header,7
trying,7
interface,6
rounding,6
back,6
IS,6
UI,6
avoid,6
always,6
files,6
default,6
name,6
makes,6
CLinkageView,6
circle,6
too,6
provided,6
pConnector,6
m_pGDIPlusGraphics,6
\(int)x,\,6
macros,6
meet,6
bits,6
drawn,6
exact,6
step,6
target,6
snap,6
Test,6
pixels,6
AND,6
pPen,6
length,6
pLink,6
many,6
These,6
&&,6
BE,6
(int)y,6
previous,6
actuator,6
possible,6
added,6
still,6
know,6
types,6
pCommonConnector,6
open,6
Copy,6
CMainFrame,6
anything,6
element,6
comparison,6
useful,6
CLinkPropertiesDialog,6
THIS,6
count,6
done,6
CLinkageDoc,6
Change,6
page,6
delete,6
keep,6
elements,6
Rotate,6
like,5
codec,5
To,5
Don't,5
output,5
Points,5
our,5
connect,5
sort,5
odd,5
Overrides,5
addition,5
afx_msg,5
radians,5
maximum,5
show,5
moment,5
larger,5
direction,5
included,5
\(int)Rect.top,\,5
Counter,5
additional,5
shortly,5
(const,5
center,5
Code,5
state,5
64,5
twice,5
Case,5
expected,5
//,5
GDI,5
cursor,5
pDC->DrawIcon(,5
Generated,5
sizes,5
system,5
FALSE,5
Do,5
offset,5
Use,5
