File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\development\linkage\AboutDialog.cpp,83,55,33,8,25,1,3,7,2,4
C:\development\linkage\AngleDialog.cpp,46,28,10,1,14,1,4,10,2,4
C:\development\linkage\AnimatedGifFile.cpp,13,8,2,0,5,0,0,0,0,0
C:\development\linkage\AviFile.cpp,394,298,198,56,79,15,17,234,0,0
C:\development\linkage\Cam.cpp,140,110,67,19,26,0,4,51,0,0
C:\development\linkage\ColorCursor.cpp,127,82,52,9,24,0,21,95,4,15
C:\development\linkage\ColorStatic.cpp,11,7,0,0,4,0,0,0,0,0
C:\development\linkage\connector.cpp,484,390,248,89,65,0,29,118,0,0
C:\development\linkage\ConnectorPropertiesDialog.cpp,166,134,78,7,28,1,4,10,2,4
C:\development\linkage\ControlWindow.cpp,385,297,190,50,84,1,4,11,2,4
C:\development\linkage\DebugItem.cpp,5,2,0,0,3,0,0,0,0,0
C:\development\linkage\dimension.cpp,38,31,15,5,7,0,0,0,0,0
C:\development\linkage\DXFFile.cpp,317,249,168,18,47,0,21,146,0,0
C:\development\linkage\Element.cpp,56,46,27,4,9,1,1,37,0,0
C:\development\linkage\ExportImageSettingsDialog.cpp,206,154,87,22,47,2,5,27,2,4
C:\development\linkage\GearRatioDialog.cpp,59,39,15,0,16,1,4,10,2,4
C:\development\linkage\geometry.cpp,615,444,283,77,111,6,60,458,0,0
C:\development\linkage\graham.cpp,229,162,103,26,36,9,31,247,0,0
C:\development\linkage\helper.cpp,40,36,16,14,4,0,0,0,0,0
C:\development\linkage\ImageSelectDialog.cpp,126,79,50,9,38,1,9,43,2,4
C:\development\linkage\LinePropertiesDialog.cpp,88,65,35,3,19,1,4,10,2,4
C:\development\linkage\link.cpp,2022,1395,873,390,343,11,284,2694,0,0
C:\development\linkage\linkage.cpp,288,161,89,14,55,4,72,390,2,9
C:\development\linkage\linkageDoc.cpp,5011,3900,2516,876,773,5,338,2168,2,7
C:\development\linkage\linkageView.cpp,7624,6031,3943,798,1293,12,300,1990,2,7
C:\development\linkage\LinkPropertiesDialog.cpp,133,105,62,6,24,1,4,10,2,4
C:\development\linkage\MainFrm.cpp,847,580,404,43,184,4,83,491,0,0
C:\development\linkage\MyDialog.cpp,130,96,56,16,30,3,4,36,0,0
C:\development\linkage\PointDialog.cpp,147,112,58,13,28,4,7,44,2,4
C:\development\linkage\PopupGallery.cpp,727,575,387,74,143,2,9,63,2,4
C:\development\linkage\quickxml.cpp,239,193,115,64,39,0,7,45,0,0
C:\development\linkage\RecordDialog.cpp,147,108,69,8,34,1,5,18,2,4
C:\development\linkage\renderer.cpp,3406,2462,1622,535,662,12,282,1395,0,0
C:\development\linkage\renderergdi.cpp,1,1,0,0,0,0,0,0,0,0
C:\development\linkage\SampleGallery.cpp,82,72,51,10,10,0,0,0,0,0
C:\development\linkage\StdAfx.cpp,9,1,0,0,5,0,3,23,3,23
C:\development\linkage\TestDialog.cpp,43,23,8,1,16,1,4,10,2,4
C:\development\linkage\AboutDialog.h,29,18,10,0,9,2,2,8,0,0
C:\development\linkage\AngleDialog.h,27,17,9,0,8,2,2,8,0,0
C:\development\linkage\AnimatedGifFile.h,9,7,4,0,2,0,0,0,0,0
